character,text,text_ru
YODA,"Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers.","Слишком сильно под влиянием канцлера, очень много гнева в нем, слишком много гордости за его силы."
YODA,A prophecy . . . that misread could have been.,"Пророчество, которое могло быть неверно истолковано."
YODA,"I hope right you are. And now destroy the Droid armies on Kashyyyk, I will. May the Force be with you.","Надеюсь, вы правы, а теперь разрушьте армии дроидов на Кашийке, я сделаю это."
YODA,"Act on this, we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed.","Мы должны принять меры, чтобы захват генерала Гривуса положил конец этой войне."
YODA,"A Master is needed, with more experience.","Нужен Мастер, с большим опытом."
YODA,"Obi-Wan, my choice is.","Оби-Ван, мой выбор."
YODA,I agree.,Я согласен.
YODA,"Then now the time is, Commander.","Тогда время пришло, коммандер."
YODA,To a dark place this line of thought will carry us. Hmmmmm. . . . great care we must take.,"В темное место эта линия мысли принесет нам большую заботу, которую мы должны принять."
YODA,"Stink, this mud does. A moment to bathe, give me.","Вонючая, эта грязь, дай мне ванну."
YODA,"(continuing) Not far, are we, from the emergency ship. Quickly . . .",Недалеко от корабля скорой помощи.
YODA,"Good-bye. Chewbacca and Tarfful, miss you I will. Good friends you are. For your help, much gratitude and respect, I have.","До свидания, Чьюбакка и Тарфул, я буду скучать по тебе."
YODA,"Master Kenobi, dark times are these. Good to see you. it is.","Мастер Кеноби, это тёмные времена."
YODA,"With the help of the Wookiees, barely escape, I did.","С помощью вуки, едва сбежавших, я сбежал."
YODA,"Heard from no one, have we.","Никто не слышал, не так ли?"
YODA,"Received a coded retreat message, we have.",Мы получили закодированное сообщение об отступлении.
YODA,"Suggest dismantling the coded signal, do you?","Предлагаешь демонтировать закодированный сигнал, да?"
YODA,I agree. In a dark place we find ourselves ... a little more knowledge might light our way.,"Согласен, в темном месте мы находим себя... немного больше знаний может пролить свет на наш путь."
YODA,"If a special session of Congress there is, easier for us to enter the Jedi Temple it will be.","Если будет специальная сессия Конгресса, нам будет легче войти в храм джедаев."
YODA,"Dismantle the coded signal quickly. That group back there, soon discovered will be.",Отключите закодированный сигнал быстро.
YODA,"Killed not by clones, this Padawan. By a lightsaber, he was.","Убит не клонами, этот Падаван, а светильником."
YODA,"Good . . . For the Clones to discover the recalibration, a long time it will take. To change it back, longer still. Hurry.","Хорошо.. ..что Клоны обнаружат перекалибрацию, это займет много времени."
YODA,"If into the security recordings you go, only pain will you find.","Если вы попадете в записи с камер наблюдения, вы найдете только боль."
YODA,"Destroy the Sith, we must.","Уничтожить ситов, мы должны."
YODA,"To fight this Lord Sidious, strong enough, you are not.","Чтобы сражаться с этим лордом Сидиусом, достаточно сильным, ты не сражаешься."
YODA,"Twisted by the dark side, young Skywalker has become. The boy you trained, gone he is . . . Consumed by Darth Vader.","Поврежденный темной стороной, молодой Скайуокер стал мальчиком, которого вы тренировали, он ..украшен Дартом Вейдером."
YODA,"To question, no time there is.","Сомневаюсь, что у нас нет времени."
YODA,"Use your feelings, Obi-Wan, and find him, you will. Visit the new Emperor, my task is. May the Force be with you.","Воспользуйся своими чувствами, Оби-Ван, и найди его."
YODA,"I hear a new apprentice, you have. Emperor, or should I call you Darth Sidious.","Я слышу нового ученика, у тебя есть Император, или мне следует называть тебя Дарт Сидиус."
YODA,Surprised?,Удивлена?
YODA,"Not if anything I have to say about it, Lord Sidious.","Нет, если я что-то скажу об этом, лорд Сидиус."
YODA,"(continuing) At an end your rule is and not short enough it was, I must say.","(Постоянно) В конце концов, ваше правление было и не было достаточно коротким, я должен сказать."
YODA,"(continuing) If so powerful you are, why leave??","Если ты настолько могущественна, зачем уезжать?"
YODA,"Faith in your new apprentice, misplaced may be, as is your faith in the dark side of the Force.","Вера в вашего нового ученика, может быть, неуместна, как и ваша вера в темную сторону Сил."
YODA,"Destroy you I will, just as Master Kenobi, your apprentice will destroy.","Уничтожу вас, как и мастера Кеноби, вашего ученика."
YODA,Hurry. Careful timing we will need.,"Быстрее, нам нужно время."
YODA,"Into exile I must go. Failed, I have.",В изгнание я должен уехать.
YODA,"Failed to stop the Sith Lord, I have. Still much to learn, there is ...","Я не смог остановить Ситха Лорда, но все еще многому нужно научиться, есть..."
YODA,Eternal consciousness.,Вечное сознание.
YODA,". . . to become one with the Force, and influence still have . . . A power greater than all, it is.","..чтобы стать единым с Силой, и влияние все еще имеет... ..силу больше, чем все."
YODA,"A great Jedi Master, you have become, Qui-Gon Jinn. Your apprentice I gratefully become.","Великий джедай Мастер, ты стал Кви-Гон Джинн, твоим учеником я с благодарностью стал."
YODA,"Save them, we must. They are our last hope.","Спаси их, мы должны, это наша последняя надежда."
YODA,"Pregnant, she must still appear. Hidden, safe, the children must be kept.","Беременная, она все еще должна появиться, спрятанная, в безопасности, дети должны быть оставлены."
YODA,"Split up, they should be.","Разделяйтесь, они должны быть."
YODA,"To Tatooine. To his family, send him.","В Татуин, к своей семье, отправь его."
YODA,"Strong the Force runs, in the Skywalker line. Hope, we can . . . Done, it is. Until the time is right, disappear we will.","Силовые бегут по линии Скайуокер, надеюсь, мы можем... ..пока не наступит время, исчезнем мы"
YODA,"(continuing) Master Kenobi, wait a moment. In your solitude on Tatooine, training I have for you.","Мастер Кеноби, подождите минутку, в вашем одиночестве на Татуине, тренировка у меня для вас."
YODA,An old friend has learned the path to immortality.,Старый друг узнал путь к бессмертию.
YODA,"One who has returned from the netherworld of the Force to train me . . . your old Master, Qui-Gon Jinn.","Тот, кто вернулся из ниоткуда от Сил, чтобы обучить меня вашему старому Мастеру, Кви-Гону Джинну."
YODA,"The secret of the Ancient Order of the Whills, he studied. How to commune with him. I will teach you.","Секрет Ордена Древних Холмов, он изучал, как общаться с ним, я научу тебя."
YODA,"How to join the Force, he will train you. Your consciousness you will retain, when one with the Force. Even your physical self, perhaps.","Как вступить в Силу, он тебя обучит, ты сохранишь сознание, когда ты будешь с Силой, даже физическое я, возможно."
YODA,Hmm. That face you make. Look I so old to young eyes?,"Посмотри, как я стара для молодых глаз?"
YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have.",Скоро я отдохну.
YODA,Strong am I with the Force... but not that strong! Twilight is upon me,"Я сильна с Силой, но не настолько сильна!"
YODA,No more training do you require. Already know you that which you need.,"Больше никаких тренировок, которые вам нужны."
YODA,Mmm... rest I need. Yes... rest.,"Отдыхай, мне нужен."
YODA,Your father he is.,Твой отец.
YODA,"Told you, did he?","Говорил же, да?"
YODA,"Unexpected this is, and unfortunate...","Неожиданно это, и несчастный..."
YODA,"Remember, a Jedi's strength flows from the Force.  But beware.  Anger,","Помните, сила джедаев исходит из Сил, но будьте осторожны."
YODA,"Luke...Luke...Do not...Do not underestimate the powers of the Emperor,","Люк... Люк... не надо недооценивать силу императора,"
